,id,de,ch_sg,ch_be,ch_gr,ch_zh,ch_vs,ch_bs,ch_ag,ch_lu,thema,code_switching
10917,10917,"Die Grünen haben keinen eigentlichen Plan, wie die Schweiz das Klimaziel erreichen könnte.",,,"Dia Grüana hend kein eigentlicha Plan, wia d Schwiz das Klimaziel erreicha könnt.",,,,,,wirtschaft,
10918,10918,Die Rechten und Linken sind gemeinsam gegen mich. Darauf bin ich stolz.,,,Dia Rechta und Linka sind gmeinsam gega mi. U das bin i Stolz.,,,,,,wirtschaft,
10919,10919,"Das soll noch vor Juni geschehen, weil bei der EU sonst das Gefühl aufkommen könnte, dass wir überhaupt keinen Willen zeigen.",,,"Das söll no vor am Juni passiara, will bi dr EU sus ds Gfühl ufkoh könnt, dass miar überhaupt kei Willa zeigen.",,,,,,wirtschaft,
10920,10920,Nationalrätin Lisa Mazzone zweitausendfünfzehn wurde die Newcomerin als jüngstes Mitglied in den Nationalrat gewählt.,,,Zweitusigfufzehn isch d Newcomerin Nationalrötin Lisa Mazzone als jüngsts Mitglied in da Nationalrot gwählt worda.,,,,,,wirtschaft,
10921,10921,"Kein Wunder also, dass der Kanton Aargau darum besorgt ist, dass sich die Expats wohl fühlen.",,,"Kei Wunder also, dass dr Kanton Aargau drum besorgt isch, dass sich d Expats wohl fühlen.",,,,,,wirtschaft,
10922,10922,Bis heute kontrolliert die türkische Armee dort gemeinsam mit verbündeten syrischen Rebellen ein Gebiet.,,,Bis hüt kontrolliart dia türkisch Armme döt gmeinsam mit verbündeta syrischa Rebella as Gebiat.,,,,,,wirtschaft,
10923,10923,ohne Frage ein reiches Land ist und relativ viel für Forschung ausgeben kann.,,,Ohni Frog as richs Land isch und relativ viel für Forschig usgeh kann.,,,,,,wirtschaft,
10924,10924,"Es werden konkrete Fälle diskutiert, die unmittelbar die Unternehmen betreffen, etwa Enteignungen westlicher Unternehmen.",,,"Es werden konkreti Fäll diskutiart, wo unmittelbar d Unternehma betreffen, öpa Enteigniga vu westlicha Unternehma.",,,,,,wirtschaft,
10925,10925,"Als die Ausweisung des Gurus droht, gibt es kein Halten mehr.",,,"Wo d Uswiisig vum guru droht, gits keis Halta meh.",,,,,,wirtschaft,
10926,10926,"Das ist jedoch nicht alleine Trumps Verdienst, die Quote sinkt seit Ende zweitausendzehn praktisch ununterbrochen.",,,"Das isch jedoch nit allei am Trump sin Verdienst, d Quota sinkt siit Ende zweitusigzehn praktisch ununterbrocha.",,,,,,wirtschaft,
10927,10927,Innenminister Berset muss die Reform von AHV und beruflicher Vorsorge durchs Parlament und die Volksabstimmung bringen.,,,Innaminister Berset muass d Reform vo AHV und bruaflicher Vorsorg durs Parlament und d Volksabstimmig bringa.,,,,,,wirtschaft,
10928,10928,zwölftausend Chinesen werden dieser Tage in Luzern erwartet.,,,Zwölftuuwig Chinesa werden dia Täg in Luzern erwartet.,,,,,,wirtschaft,
10929,10929,Margrith Meier und Pascal Kaiser Welche Akzente haben sie in der vergangenen Legislatur gesetzt?,,,Welli Akzent hend sie in dr vergangna Legislatur gsetzt?,,,,,,wirtschaft,
10930,10930,"Mit Hengartner habe man einen international vernetzten Forscher gefunden, der alle geforderten Kriterien erfülle.",,,"Mit am Hengartner heg ma an international verntzta Forscher gfunda, wo alli gfordereta Kriteria erfüllt.",,,,,,wirtschaft,
10931,10931,"Um die Wählerinnen und Wähler zu überzeugen, wirbt er in sämtlichen einhundertzweiundsechzig Gemeinden des Kantons Zürich.",,,"Zum d Wählerinna und Wähler überzüga, wirbt er in sämtlicha hundertzweiasechzig Gmeinda vum Kanton Züri.",,,,,,wirtschaft,
10932,10932,"Aber auch in anderen Gebieten gebe es unterschiedliche Interessen, sagte Sommaruga.",,,"Aber au in andera Gebiat gebs unterschiedlichi Interessa, het d Sommaruga gseit.",,,,,,wirtschaft,
10933,10933,"Für Karrer ist klar, dass das Ja zustande gekommen ist, weil innerhalb aller Kantone Lösungen gefunden worden seien.",,,"Für dr Karrer isch klar, dass ds Jo ztand koh isch, will innerhalb vu allna Kantön Lösiga gfunda worda segen.",,,,,,wirtschaft,
10934,10934,Eine neue Form im Zusammenspiel von Wirtschaft und Politik?,,,A neui Form im Zemmaspeil vu Wirtschaft und Politik?,,,,,,wirtschaft,
10935,10935,Wenn so eines denn mit dem Schweizer Markt und den Preisen verträglich sei.,,,Wenn so eis denn mitem Schwizer Markt und da Prisa verträglich sig.,,,,,,wirtschaft,
10936,10936,"Im Interview spricht sie über Favoriten, das Medieninteresse und erklärt, wo sich der Frauenfussball nach wie vor schwertut.",,,"Im Interview redet sie über Favorita, ds Mediainteresse und erklärt, wo sich dr Frauafuassball noch wia vor schwertuat.",,,,,,wirtschaft,
10937,10937,"Nein, es ist eine unglaubliche Chance, die es in der Schweiz so bis jetzt nicht gibt.",,,"Nei, es isch a unglaublichi Chance, wos in dr Schwiz so bis jetzt nit git.",,,,,,wirtschaft,
10938,10938,Diese Haltung stösst bei den Userinnen und Usern von SRF auf Unverständnis.,,,Dia Haltig stosst bi da USerinna und User vum SRF uf Unverständnis.,,,,,,wirtschaft,
10939,10939,"Folglich hätte zweitausendzwanzig für die SP, die FDP und die CVP wohl die Bekämpfung der Begrenzungsinitiative an der Urne Priorität.",,,"Folglich hätti zwanzigzwanzig für d SP, d FDP und d CVP wohl d Bekämpfig vur Begrenzigsinitiativa an dr Urna Priorität.",,,,,,wirtschaft,
10940,10940,Die Redaktion konfrontierte Politiker von links bis rechts und den Politgeografen Michael Hermann mit vier Aussagen unserer Hörer.,,,D Redaktion het Politiker vo links bis rechts und dr Politgeograf Michael Hermann mit vier Ussaga vo üssna Hörer konfrontiart.,,,,,,wirtschaft,
10941,10941,Er gewichtet den Konsumentenschutz in einer langen Tradition von Urteilen jeweils hoch.,,,Er gwichtet dr Konsumentaschutz inara langa Tradition vu Uteil jewils hoch.,,,,,,wirtschaft,
10942,10942,"Sie können die vorhandenen Aufträge kaum abarbeiten, weil qualifiziertes Personal fehlt.",,,"Sie könn dia vorhandena Ufträg kum abarbeita, will qualifiziarts Persoal fehlt.",,,,,,wirtschaft,
10943,10943,Zudem existieren Bedenken gegenüber möglichen Gesundheitsrisiken.,,,Zudem existiaren Bedenka geganüber möglicha Gsundheitsrisika.,,,,,,wirtschaft,
10944,10944,"Das sei eigentlich paradox, meint Jansen, und habe damit zu tun, dass viele Menschen hofften, selber einmal reich zu werden.",,,"Das sig eigentlich paradox, meint dr Jansen, und heg drmit z tua, dass vieli Menscha ghofft hend, selber mol rich zwerda.",,,,,,wirtschaft,
10945,10945,"Der Test habe gezeigt, dass der Kanal funktioniere.",,,"Dr Test heg zeigt, dass dr Kanal funktioniari.",,,,,,wirtschaft,
10946,10946,"Die schulischen Tagesstrukturen seien hier längst nicht so gut, wie in anderen Ländern, sagen einige der Expats.",,,"Dia schualischa Tagesstruktura sigen do längst nit so guat, wia in andera Länder, segen einigi vu da Expats.",,,,,,wirtschaft,
10947,10947,Allein in den vergangenen zwölf Monaten stiegen die Preise für Stockwerkeigentum um zwei Komma zwei Prozent.,,,Allei in da vergangna zwölf Mönet stiegen d Priisa für Stockwerkeigatum um zwei komma zwei Prozent.,,,,,,wirtschaft,
10948,10948,Auch Müller erteilte einer Verbotspolitik eine Absage.,,,Au dr Müller het dr Verbotspolitik a Absag erteilt.,,,,,,wirtschaft,
10949,10949,"Ob es sich dabei um Produkte der Firma Crypto AG handelte, will das Seco heute auf Anfrage nicht beantworten.",,,"Ob sichs drbii um Produkt vu dr Firma Crypto AG ghandlet het, will ds SECO hüt uf Afrog nit beantworta.",,,,,,wirtschaft,
10950,10950,"Es gibt heutzutage keinen Grund mehr, ein Auto zu fahren, das so viel Benzin braucht.",,,"Es git hützutags kein Grund meh, as Auto z fahra, wo so viel Benzin brucht.",,,,,,wirtschaft,
10951,10951,"Macht es da nicht Sinn, dass sich Bern mit Kritik an Riad zurückhält, damit die Kanäle offen bleiben?",,,"Machts do nit Sinn, dass sich Bern mit Kritik an Riad zruckhaltet, damit d Kanäl offa blieben.",,,,,,wirtschaft,
10952,10952,Nun zieht die oberste Lehrerin des Kantons weiter und wird oberste Lehrerin des Landes.,,,Jetzt zücht dia oberst Lehrerin vum Kanton witer und wird obersti Lehrerin vum Land.,,,,,,wirtschaft,
10953,10953,"Diese führten dazu, dass der Automatische Informationsaustausch zwischen der Schweiz und Indien Anfang zweitausendachtzehn in Kraft treten konnte.",,,"Dia hend drzua gfüahrt, dass dr Automatischi Informationsustuusch zwüschet dr Schwiz und India Afang zweitusigachzen in Kraft treta könnt.",,,,,,wirtschaft,
10954,10954,Als mögliches Beispiel nennt Breu fossile Rohstoffe.,,,Als mnöglichs Biispiel nennt dr Breu fossili Rohstoff.,,,,,,wirtschaft,
10955,10955,"Wir streben an, dass das Freihandelsabkommen nun, wie ursprünglich vorgesehen, erweitert wird.",,,"Miar streben ah, dass das Freihandelsabkomma jetzt, wia ursprünglich vorgseh, erwiiteret wird.",,,,,,wirtschaft,
10956,10956,"Die Negativzinsen sind nötig, damit wir die adäquaten monetären Bedingungen in der Schweiz haben.",,,"D Negativzinsa sind nötig, damit miar dia adäquata monetära Bedingigain dr Schwiz hend.",,,,,,wirtschaft,
10957,10957,Die Pläne des Kantons krempeln das untere Reusstal um.,,,D Plän vum Kanton kremplen ds untera Reusstal um.,,,,,,wirtschaft,
10958,10958,"Noch wichtiger für die Vielfalt sind Bahndämme und Strassenböschungen, weil sie die Kleinstlebensräume verbinden.",,,"No wichtiger für d Vielfalt sind Bahndämm und Stossaböschiga, will sie d Klinstlebensrüüm verbinden.",,,,,,kultur,
10959,10959,"Auch eine Sensibilisierung hätte nichts geändert, sind sie überzeugt.",,,"Au a Sensibilisiarig hätti nüt gänderet, sind sie überzügt.",,,,,,kultur,
10960,10960,"Knapp verwarf der Rat den Vorschlag, die Bestandesregulierung auch für Graureiher und Gänsesäger vorzusehen.",,,"Knapp het dr Rot dr Vorschlag verworfa, d Bestandsreguliarig au für Graureiher und Gänsesänger vorzgseh.",,,,,,kultur,
10961,10961,Gemäss der Lehrmeinung wird Gott mich bestrafen.,,,Gemäss dr Lehrmeinig wird Gott mi bestrofa.,,,,,,kultur,
10962,10962,Ein Nachfahre von Alfred von Rodt betreibt heute auf der Insel ein Restaurant.,,,An Nochfahr vu Alfred von Rodt betriebt hüt uf dr Insla as Restaurant.,,,,,,kultur,
10963,10963,"führend im Bestreben, ein ausgeglichenes Geschlechterverhältnis am Dirigierpult zu erreichen.",,,"Füahrend im Bestreba, as usglichenes Gschlechterverhältnis am Dirigierpult z erreicha.",,,,,,kultur,
10964,10964,"Dies erhöhte die Spannungen zwischen Indien und Pakistan, die seit über siebzig Jahren bestehen.",,,"Das het d Spanniga zwüscha India und Pakistnan erhöht, wo sit über siebzig Johr bestöhn.",,,,,,kultur,
10965,10965,"Zwar seien die Verhältnisse in Griechenland karg gewesen, kein fliessendes Wasser, keinen Strom.",,,"Zwor sigen die Verhältnis in Griachaland karg gsi, kei flüssends Wasser, kein Strom.",,,,,,kultur,
10966,10966,"Sie haben auch verstanden, dass die Schweiz im Umgang mit vier Kulturen, vier Sprachen und sechsundzwanzig Kantonen sehr viel Erfahrung hat.",,,"Sie hend au verstanda, dass d Schwiz im Umgang mit vier Kultura, vier Sprocha und sechsazwanzig Kanton sehr viel Erfharig het.",,,,,,kultur,
10967,10967,Damals bauten tamilische Asylbewerber ihren ersten Tempel im Estrich einer Oltner Asylunterkunft.,,,Damals hend tamilischi Aslybewerber ihra erst Tempel im Estrich vunera Oltener Asylunterkunft baut.,,,,,,kultur,
10968,10968,Ein Schweizer Inseltraum Dennoch kämpfen die Bewohner mit ähnlichen Problemen wie ihre Vorfahren in der Schweiz und in Chile.,,,En Schwizer Inseltraum. Glich kämpfen d Bewohner mit ähnlicha Problem wia ihri Vorfahra in dr Schwiz und Chile.,,,,,,kultur,
10969,10969,"Maria lernt früh auf eigenen Beinen zu stehen, übersetzt für die Eltern in der Schule, bei den Behörden.",,,"D Maria lernt früah uf eigna Bei zstoh, überstzt für d Eltera in dr Schual, bi da Behörda.",,,,,,kultur,
10970,10970,Im Laufe der Ermittlungen in Russland übernachtete K. mehrmals in russischen Jagdresorts.,,,Im Lauf vu da Ermittliga in Russland het dr K. mehrmols in russischa Jagdresort übernachtet.,,,,,,kultur,
10971,10971,An einer Messe wie Hongkong machen wir geschätzt zwanzig Prozent unseres Jahresumsatzes.,,,Anera Mess wia Hongkong machemer gschätzt zwanzig Prozent vu üssem Johresumsatz.,,,,,,kultur,
10972,10972,"Da ich erst vor wenigen Wochen davon erfahren habe, war es nicht mehr möglich, eine Schiffsreise zu organisieren.",,,"Do i erst vor weniga Wucha drvo erfahra han, isch es nüm möglich gsi, a Schiffsreis z organisiara.",,,,,,kultur,
10973,10973,"Migranten, die aus Arbeitsgründen in die Schweiz gekommen sind, verlassen das Land im Durchschnitt nach fünf Jahren wieder.",,,"Migranta, wo us Arbetsgründ in d Schwiz koh sind, verlöhn das Land im Durchschnitt noch füf Johr wieder.",,,,,,kultur,
10974,10974,In den Medien wird Philanthropie jedoch meistens sehr eng gefasst und nur auf die Reichen angewendet.,,,In da Media wird Philanthropie jedoch meistens sehr eng gfasst und nur uf dia Richta agwendet.,,,,,,kultur,
10975,10975,"Mit siebenundfünfzig den Job verlieren, weil ein Jüngerer schneller ist und weniger kostet, damit die Aktionäre zufrieden sind?",,,"Mit siebnafufzig dr Job verlüra, will an Jüngera schneller isch und weniger kostet, damit d Aktionär zfrieda sind?",,,,,,kultur,
10976,10976,"Durch den Konsum ist er nicht mehr der, der er eigentlich wäre, wenn er nüchtern ist.",,,"Dur da Konsum isch er nüm de, wo er eigentlich wär, wenn er nüachtern isch.",,,,,,kultur,
10977,10977,"Dort geben pro Land rund tausend Menschen zu Protokoll, wie zufrieden sie mit ihrem Leben sind.",,,"Döt gebend pro Land rund tuusig Menscha zu Protokoll, wia zfrieda sie mit ihrem Leba sind.",,,,,,kultur,
10978,10978,"Dadurch sei eine Abhängigkeit entstanden, eine Sucht, meint der Sozialpsychologe Harald Welzer.",,,"Dur das si a Abhängigkeit entstanda, a Sucht, meit dr Sozialpsycholog Harald Welzer.",,,,,,kultur,
10979,10979,"Märchen waren ihr Leben Ihr ganzes Leben sei geprägt gewesen von den Märchen, erinnert sich ihre Tochter Esther Jenny.",,,"Märli sind ihres Leba gsi. Ihres ganza Leba sig prägt gsi vo Märli, erinneret sich ihri Tochter d Esther Jenny.",,,,,,kultur,
10980,10980,Auch bei den Lastwagen kommt im Bereich Wasserstoff viel Neues.,,,Au bi da Lastwäga kunnt im Beriich Waaserstoff viel Neus.,,,,,,kultur,
10981,10981,"Sie kommen, um sich die Gaukler und Strassenkünstlerinnen anzuschauen, um etwas Feines zu essen, im See zu schwimmen.",,,"Sie kömmen, zum sich d Gaukler und Strossakünstlerinna azluaga, zum öpis Feins z essa, im See z schwimma.",,,,,,kultur,
10982,10982,Alte Videoaufnahmen und Fotografien führen den Zuschauer durch die erste Hälfte des amerikanischen zwanzigsten.,,,Alti Videoufnahma und Fotografia füahren dr Zuaschauer dur dia erst Hälfti vum amerikanischa zwanzigsta.,,,,,,kultur,
10983,10983,"Können wir uns nicht leisten, war denn auch die Reaktion des Verlags auf Pfisters Idee.",,,"Kömmer üs nid leista, isch denn au d Reaktion vum Verlag uffem Pfister sini Idee gsi.",,,,,,kultur,
10984,10984,"Touristen hinkommen, werden vom Regime kontrolliert.",,,"Tourista hera kömmen, werden vum Regime kontrolliart.",,,,,,kultur,
10985,10985,Zwar schwappen regelmässig die meisten Trends aus dem Westen auch nach China rüber.,,,Zwor schwappen regelmässig dia meista Trends us am Westa au noch China übera.,,,,,,kultur,
10986,10986,"Da ist der grosse Essraum mit der kleinen Kochnische, die schmale Schlafkoje liegt gleich nebenan.",,,"Do isch dr grossi Essruum mit dr klina Kochnischa, dia schmal Schlofkoja ligt grad nebedra.",,,,,,kultur,
10987,10987,"Müssen sie, zumindest indirekt, damit rechnen, eine Konfliktpartei zu unterstützen?",,,"Müan sie, zumindest indirekt, drmit rechna, a Konflitkpartei z unterstütza?",,,,,,kultur,
10988,10988,Zudem ist es eine Art Schattenverwaltungsrat und fördert die Intransparenz von Entscheidungen.,,,Zudem isch es a Art Schattaverwaltigsrot und förderet d Intransparenz in da soziala Media fest.,,,,,,kultur,
10989,10989,Doch wir stellen vermehrt antisemitische Postings und Drohungen in den sozialen Medien fest.,,,Aber miar stellen vermehr antisemitischi Postings und Drohiga in da soziala Media fest.,,,,,,kultur,
10990,10990,"Wenn ich durch den Bahnhof gehe, muss ich mir mindestens zehn Plakate anschauen, die für exotische Ferienziele werben.",,,"Wenn i dur da Bahnhof gohn, muass i miar mindestens zehn Plakat ahluaga, wo für exotischi Feriaziel werben.",,,,,,kultur,
10991,10991,Seit zweitausendzehn lebt und arbeitet Gen Atem mit der Grafikerin und Künstlerin Miriam Bossard zusammen.,,,Sit zweitusigzehn lebt und schafft dr Gen Atem mit der Grafikerin und Künstlerin Miriam Bossard zemma.,,,,,,kultur,
10992,10992,"Durchaus im Konsens mit dem Schweizer Stimmvolk, das eine Erbschaftssteuer zweitausendfünfzehn an der Urne ablehnte.",,,"Durchuus im Konsens mitem Schwizer Stimmvolk, das a Erbschaftsstüür zweitusigfufzehn an dr Urna abglehnt het.",,,,,,kultur,
10993,10993,"Fragen für den säkularen Unterricht, deren Antwort sich nicht so einfach aus dem Ärmel schütteln lassen.",,,"Froga für da säkulari Unterricht, dera Antwort sich nit so eifach ussam Ärmel schüttla loht.",,,,,,kultur,
10994,10994,"Warum soll der Mensch an einer Zukunft mitwirken, die er selber dann gar nicht mehr erleben wird?",,,"Warum söll dr Mensch anera Zuakunft mitwirka, wo er selber denn gar nüm erleba wird?",,,,,,kultur,
10995,10995,"In Strassburg etwa gibt es eine grosse, gut sichtbare jüdische Gemeinschaft, die sich als Zentrum jüdischen Lernens etabliert hat.",,,"In Strassburg öpa gits a grossi, guat sichtbari jüdischi Gmeinschaft, wo sich als Zentrum vu jüdischem Lerna etabliart het.",,,,,,kultur,
10996,10996,"Lassen unsere Tonmeister und Techniker Mikrophone stellen, Kabel verlegen und die Aufnahmewagen vorfahren.",,,"Löhn üssi Tonmeister und Techniker Mikrophon stella, Kabel verlegga und d Ufnahmewaga vorfahra.",,,,,,kultur,
10997,10997,"Gesprächstherapie genügt oftmals Auch Daniel Hell ist zurückhaltend, wenn es um das verschreiben von Antidepressiva geht.",,,"Gsrpöchtherapie langt oftmals. Au dr Daniel Hell isch zruckhaltend, wenns um ds verschrieba vo Antidepressiva goht.",,,,,,kultur,
10998,10998,"Das half mir, meine Sexualität zu unterdrücken und für eine bessere Welt zu kämpfen.",,,"Das het miar gholfa, mini Sexualität z unterdrücka und für a besseri Welt z kämpfa.",,,,,,kultur,
10999,10999,"Er erzählt von drei Geschwistern, die ihren Vater in Rom besuchen und sich dabei an ihre zerrüttete Kindheit erinnern.",,,"Er verzellt vu drei Gschwüstera, wo ihra Vater in Rom bsuachen und sich drbii an ihri zerrütteti Kindheit erinneren.",,,,,,kultur,
11000,11000,"Auch für sie stellt sich die Frage, welche religiöse Lieder wollen wir an einer Weihnachtsfeier in einer Schule singen?",,,"Au für sie stellt sichd Frog, welli religiösa Liader wemmer anara Wiahnachtsfiir inara Schual singa.",,,,,,kultur,
11001,11001,Man sollte das Trinkgeld auf dem Tisch zurücklassen und nicht die Rechnung aufrunden oder Geld in die Hand des Kellners geben.,,,"Man sött ds Trinkgeld auf dem Tisch zruckloh und nit d Rechnig ufrunda, oder Geld in d Hand vum Kellner geh.",,,,,,kultur,
11002,11002,"Ich denke, Humor verläuft nicht entlang einer Landesgrenze, sondern entlang einer Geschmacksgrenze.",,,"I denka, Humor verlauft nit entlang nara Landesgrenza, sondern entlang nara Gschmacksgrenza.",,,,,,kultur,
11003,11003,Dann gefährdet man am Schluss gar die zehn Prozent Grenze.,,,Denn gföhrdet ma am Schluss gar dia zehn Prozent Grenza.,,,,,,kultur,
11004,11004,"Bösiger hofft, dass sich ein paar von ihnen für die sogenannte Integrationslehre begeistern lassen.",,,"Dr Bösiger hofft, dass sich as Paas vo ihna für dia sogenannti Integrationslehr begeistera löhn.",,,,,,kultur,
11005,11005,"Es handelt sich um das Gebiet um die phlegräischen Felder, ein Gebiet in dem heute anderthalb Millionen Menschen wohnen.",,,"Es handelt sich um das Gebiat um dia phlegräischa Felder, as Gebiat in dem hüt anderthalb Milliona Menscha wohnen.",,,,,,kultur,
11006,11006,"Das ist im Moment der Masterplan, um die Klimaziele zu erreichen.",,,Das isch im Moment dr Masterplan.,,,,,,kultur,
11007,11007,"Mit dieser Einschätzung ist der Bundesrat gegen Reformen des Steuerwesens, also auch gegen die Einführung einer Robotersteuer.",,,"Mit dera Ischätzig isch dr Bundesrot geg Reforma vum Stüürwesa, also au geg d Ifüahrig vunara Roboterstüür.",,,,,,kultur,
11008,11008,"Auch wenn das Ladengeschäft wie eine Leihbücherei aussah, war der Skandal perfekt.",,,"Au wenn ds Ladagschäft wia a Leibüacherei usgseh het, isch dr Skandal perfekt gsi.",,,,,,kultur,
11009,11009,"Zum Beispiel im landwirtschaftlich wichtigen Gebiet von Südbrasilien, Paraguay und Nordargentinien.",,,"Zum Bispiel im landwirtschaftlich wichtiga Gebiat vu Südbrasilia, Paraguay und Nordargentinia.",,,,,,kultur,
11010,11010,Auch körperlich befinden sich diese Menschen in einem ständigen Stresszustand.,,,Au körperlich befinden sich dia Menscha inem ständiga Stresszuastand.,,,,,,kultur,
11011,11011,"Doch bevor irgendwer sich entschuldigen kann, kommt der Abspann.",,,"Doch bevor irgendwer sich entschuldiga kann, kunnt dr Abspann.",,,,,,kultur,
11012,11012,Geschätzte zweihundertfünfzigtausend Personen in der Schweiz sind alkoholabhängig.,,,Gschätzti zweihundertfufzigtuusig Persona in dr Schwiz sind alkoholabhängig.,,,,,,kultur,
11013,11013,Wie steht der Verband der Museen der Schweiz zum Thema Gratiseintritte?,,,Wia stoht dr Vorstand vu da Museea vur Schwiz zum Thema gratisiitritt.,,,,,,kultur,
11014,11014,"Besuch von fern Nach drei Jahren kommen sie nach Griechenland zurück, aber nur um ihre Tochter zu besuchen.",,,"Bsuach vu fern noch drei Johr kömmen sie noch Griachaland zruck, aber nur zum ihri Tochter z bsuacha.",,,,,,kultur,
11015,11015,"Israel hat Erfahrung damit, an grossen Veranstaltungen für Sicherheit zu sorgen.",,,"Israel het Erfahrig drmit, an grossa Verastaltiga für Sicherheit z sorga.",,,,,,kultur,
11016,11016,Am längsten Tag des Jahres geniesst man die Sonne bis weit in die Nacht hinein.,,,Am längsta Tag vum Johr gnüsst ma d Sunna bis wiit in d Nacht ina.,,,,,,kultur,
11017,11017,letzten fünfzehn Jahren hat sich der Import von Prosecco mehr als verdoppelt.,,,Letschta fufzehn Johr het sich dr Import vu Prosecco meh als verdopplet.,,,,,,kultur,
11018,11018,Viele hochkarätige Dirigentinnen sind andernorts in die Position der Chefdirigentin gewählt worden.,,,Vieli hochkarätigi Dirigentinna sind aswo anders in d Position vur Chefdirigentin gwählt worda.,,,,,,kultur,
11019,11019,Meine Frau reitet aber nicht mit dem Pferd durch die Eingangshalle der Botschaft.,,,Mini Frau rittet aber nit mitem Pferd dur d Igangshalla vunara Botschaft.,,,,,,kultur,
11020,11020,"Es schien, als könne der Mord nicht aufgeklärt werden.",,,"Es het gwirkt, als könni dr Mord nit ufklärt werda.",,,,,,kultur,
11021,11021,"Also Tyrion zumindest, dem Daeny verboten hat, in die Schlacht zu ziehen.",,,"Also zumindest dr Tyrion, wellem d Daeny verbota het, in d Schlacht z zücha.",,,,,,kultur,
11022,11022,"Als Schriftsteller veröffentlichte Ramseier Romane, Erzählbände und Kinderbücher.",,,"Als Schriftsteller het dr Ramseier Roman, Erzählbänd und Kinderbüacher veröffentlicht.",,,,,,kultur,
11023,11023,Wahnsinn auf dem Schlachtfeld Immer wieder folgt die Kamera einer anderen Figur.,,,Wahnsinn uffam Schlachtfeld. Immer wieder folgt d Kamera nera andera Person.,,,,,,kultur,
11024,11024,Die Bundesverwaltung soll den Dialog mit interessierten oder betroffenen Akteuren intensivieren.,,,D Bundesverwaltig söll dr Dialog mit interessiarta oder betroffena Akteur intensiviara.,,,,,,kultur,
11025,11025,Er konzentrierte sich auf die Arbeit in Bern und engagierte sich in verschiedenen Kommissionen.,,,Er het isch uf d Arbet in Bern konzentriart und sich in verschiedna Kommissiona engagiert.,,,,,,kultur,
11026,11026,"Netflix betreibe ein Geschäftsmodell, das für Produzenten nicht interessant sei.",,,"Netflix betriebi as Gschäftsmodell, wo für Produzenta nit interessant seg.",,,,,,kultur,
11027,11027,Denn etwa zur selben Zeit vertrat er die damalige Tschechoslowakei am Eurovision Song Contest und wurde dort vom Westen entdeckt.,,,Will öpa zur glicha Ziit het er dia damalig Tschechoslowakei am Eurovision Song Contest vertreta und isch döt vum Westa entdeckt worda.,,,,,,kultur,
11028,11028,"In der Schweiz gibt es über zweihundert Jahre alte Synagogen und Gemeinden, die nicht zerstört wurden.",,,"Ir Schwiz gits über zweihundert Johr alti Synagoga und Gmeinda, wo nit zerstört worda sind.",,,,,,kultur,
11029,11029,"Man wird den Eindruck nicht los, dass da einer einfach zu klug ist für Wutbürger.",,,"Ma wird dr Idruck nit los, dass do eina eifach z schlau isch für Wuatbürger.",,,,,,kultur,
11030,11030,"Mir war klar, dass die Gesellschaft meine sexuelle Orientierung nicht tolerieren würde.",,,"Miar isch klar gsi, dass d Gsellschaft mini sexuell Orientiarig nit toleriara wür.",,,,,,kultur,
11031,11031,"Der Auswanderer schrieb unzählige Briefe, Notizen und Tagebucheinträge.",,,"Dr Uswanderer het unzähligi Briaf gschrieba, Notiza und Tagebuachiiträg.",,,,,,kultur,
11032,11032,"Anders, als es die meisten Frauen von früher gewohnt sind, ergreift im Netz oft nicht der Mann die Initiative.",,,"Anders, als es dia meista Fraua vu früahner gwöhnt sind, ergrifft im Netz oft nit dr Maa d Initiativa.",,,,,,kultur,
11033,11033,"Oft dreht er den Politikern und Meinungsmachern einfach ihre eigenen Sätze im Munde herum, bis ihre Absurdität offensichtlich wird.",,,"Oft dreht er da Politiker und Meinigsmacher eifach ihri eigna Sätz im Muul uma, bis ihri Absurdität offasichtlich wird.",,,,,,kultur,
11034,11034,"Sepp Trütsch orientiert sich neu, wechselt in die Gastronomie und arbeitet als Reiseleiter.",,,"Dr Sepp Trütsch orientiart sich neu, wechslet in d Gastronomie und schafft als Reiseleiter.",,,,,,kultur,
11035,11035,"Reisen bedeutet für mich, dass man in Austausch mit der lokalen Bevölkerung kommt und sich mit der Kultur auseinandersetzt.",,,"Reisa bedütet für mi, dass ma in Ustusch mit dr lokala Bevölerig kunnt und sich mit dr Kultur ussanand setzt.",,,,,,kultur,
11036,11036,"Mal helle Begeisterung, dann zur Schau gestellte Empörung und Ekel.",,,"Mol helli Begeisterig, denn zur Schau gstellti Empörig und Ekel.",,,,,,kultur,
11037,11037,"Deutlich weniger störend als mangelnde Deutschkenntnisse sind Unterschiede bei Religion, Hautfarbe oder Nationalität.",,,"Dütlich weniger störend als mangelndi Dütschkenntnis sind Unterschied bi Religion, Hutfarb oder Nationalität.",,,,,,kultur,
11038,11038,"In einem Gespräch vor acht Jahren haben Sie gesagt, dass die Schweiz in Sachen Klimapolitik den Anschluss verpasst hat.",,,"Inem Gspröch vor acht Johr hend Sie gseit, dass d Schwiz in Sacha Klimapolitik dr Aschluss verpasst het.",,,,,,kultur,
11039,11039,Sie setzt sich daher im Rahmen eines Pilotprojekts der beiden Basler Kantone gegen weibliche Beschneidung ein.,,,Sie setzt sich drum im Rahma vunem Pilotprojekt vu da beida Basler Kantön geg wiblichi Beschnidig ii.,,,,,,kultur,
